# == pyFAI calibration ==
# SplineFile: None
# PixelSize: 2.000e-04, 2.000e-04 m
# PONI: 1.995e-01, 2.016e-01 m
# Distance Sample to Detector: 1.79502286468 m
# Rotations: -0.004483 0.004646 0.000019 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1795.060 mm
# Center: x=1048.052, y=1039.198 pix
# Tilt: 0.370 deg  TiltPlanRot: 46.021 deg
# 
# Wavelength: 1.4235e-11
# Polarization factor: None
# Normalization factor: 1.0
# --> /Volumes/desy/desy_2018/TiAlNi/TiAlNi_1-00051.txt
#       2th_deg             I 
  2.020694e+00    9.704786e+01
  2.023809e+00    9.652126e+01
  2.026925e+00    9.684425e+01
  2.030041e+00    9.686994e+01
  2.033157e+00    9.720618e+01
  2.036273e+00    9.730629e+01
  2.039389e+00    9.745070e+01
  2.042505e+00    9.687386e+01
  2.045621e+00    9.734594e+01
  2.048737e+00    9.796484e+01
  2.051853e+00    9.865715e+01
  2.054969e+00    9.878478e+01
  2.058085e+00    9.884618e+01
  2.061201e+00    9.911288e+01
  2.064317e+00    9.911719e+01
  2.067433e+00    9.899373e+01
  2.070549e+00    9.859636e+01
  2.073665e+00    9.824107e+01
  2.076781e+00    9.801943e+01
  2.079897e+00    9.777865e+01
  2.083013e+00    9.719608e+01
  2.086128e+00    9.710902e+01
  2.089244e+00    9.674467e+01
  2.092360e+00    9.632964e+01
  2.095476e+00    9.604796e+01
  2.098592e+00    9.577368e+01
  2.101708e+00    9.537488e+01
  2.104824e+00    9.533675e+01
  2.107940e+00    9.539551e+01
  2.111056e+00    9.528122e+01
  2.114172e+00    9.487897e+01
  2.117288e+00    9.481026e+01
  2.120404e+00    9.454865e+01
  2.123520e+00    9.449268e+01
  2.126636e+00    9.424710e+01
  2.129752e+00    9.424698e+01
  2.132868e+00    9.435081e+01
  2.135984e+00    9.450809e+01
  2.139100e+00    9.444167e+01
  2.142216e+00    9.427916e+01
  2.145332e+00    9.422009e+01
  2.148447e+00    9.430619e+01
  2.151563e+00    9.417374e+01
  2.154679e+00    9.394456e+01
  2.157795e+00    9.386742e+01
  2.160911e+00    9.339195e+01
  2.164027e+00    9.350563e+01
  2.167143e+00    9.352668e+01
  2.170259e+00    9.325657e+01
  2.173375e+00    9.337276e+01
  2.176491e+00    9.353054e+01
